Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level
HY,SunLine Transit Agency,32-505 Harry Oliver Trail,"Exit I-10 at Ramon Road, east on Ramon, east on Warner, north on Harry Oliver Trail, station on left",Thousand Palms,CA,92276,,,E,,Private,Station available for emergency fueling; contact Tommy Edwards at 760-343-3456 x312,Cash M V,,,,,,,,,,200-9,33.812361,-116.395444,2023/1/10,21796,2023-02-14 15:54:11 UTC,LG,,,2000/4/1,,,,,,US,,,,Privé,,private,,,FLEET_GARAGE,,,,,,,,,,"[""350""]",,,,,,,,,,,
HY,University of California Irvine,19172 Jamboree Rd,,Irvine,CA,92612,,800-224-2724,E,,Public - Credit card at all times,"24 hours daily; bus fueling from 10pm-2am, drivers should avoid station then",A D M V,,,,,,,,,,200-8,33.663511,-117.856388,2023/1/10,27339,2023-02-14 15:54:11 UTC,SG,,,2003/1/1,http://m.cafcp.org/content/uc-irvine,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,FALSE,,,,
HY,Shell - Torrance,2051 W 190th St,,Torrance,CA,90504,,833-743-5542,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-8,33.858556,-118.31461,2023/1/10,30131,2023-02-14 15:54:11 UTC,P,,,2017/8/21,https://m.cafcp.org/content/torrance-0,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,FALSE,,,,
HY,Penn State University - Hydrogen Station,Penn State University - Office of Physical Plant,,University Park,PA,16802,,,T,2023/6/1,TEMPORARILY UNAVAILABLE (Private),,,,,,,,,,,,200-9,40.813419,-77.85907,2023/2/13,30136,2023-02-14 15:54:11 UTC,SG,,,,,,,,,US,,,,TEMPORAIREMENT SUSPENDU (Privé),,private,,,COLLEGE_CAMPUS,,,,,,,,,,"[""350""]",,,,,,,,,,,
HY,Ford Sustainable Mobility Transportation Laboratory,Miller Rd and S Dix St,,Dearborn,MI,48120,,,E,,Private,,,,,,,,,,,,GPS,42.305644,-83.162105,2022/6/14,33062,2023-02-14 15:54:11 UTC,P,,,1999/1/1,,,,,,US,,,,Privé,FALSE,private,,,RESEARCH_FACILITY,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,,,,,
HY,Ohio State University - Center for Automotive Research,930 Kinnear Rd,,Columbus,OH,43212,,,T,2022/6/15,TEMPORARILY UNAVAILABLE (Private),,,,,,,,,,,,200-9,39.997984,-83.032838,2022/5/5,33477,2023-02-14 15:54:11 UTC,SG,,,,,,,,,US,,,,TEMPORAIREMENT SUSPENDU (Privé),FALSE,private,,,COLLEGE_CAMPUS,,,,,,,,,,"[""350""]","[""J2601""]",,,,,,,,,,
HY,Los Angeles International Airport,10400 Aviation Blvd,,Los Angeles,CA,90045,,844-692-5423,T,2023/6/1,TEMPORARILY UNAVAILABLE (Public - Credit card at all times),24 hours daily,D M V,,,,,,,,,,200-9,33.941383,-118.377866,2023/1/10,33581,2023-02-14 15:54:11 UTC,P,,,2018/12/24,http://m.cafcp.org/content/lax,,,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Carte de crédit en tout temps),TRUE,public,CREDIT_CARD_ALWAYS,,AIRPORT,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,FALSE,,,,
HY,H2 Frontier - Burbank,145 W Verdugo Ave,,Burbank,CA,91502,,,E,,Private - Card key at all times,24 hours daily; customers should call station to set up an account,,,,,,,,,,,200-8,34.174224,-118.310447,2023/1/10,33585,2023-02-14 15:54:11 UTC,LG,,,2009/1/13,https://cafcp.org/stationmap,,,,,US,,,,Privé - Carte-clé en tout temps,,private,KEY_ALWAYS,,MUNI_GOV,,,,,,,,,,"[""350"", ""700""]",,,,,,,,,,,
HY,Gas Technology Institute - University of Texas Austin,10100 Burnet Rd,J.J. Pickle Research Campus at the University of Texas at Austin,Austin,TX,78758,,,T,2023/6/1,TEMPORARILY UNAVAILABLE (Private),,,,,,,,,,,,200-9,30.385441,-97.724939,2023/2/13,35589,2023-02-14 15:54:11 UTC,P,,,,,,,,,US,,,,TEMPORAIREMENT SUSPENDU (Privé),FALSE,private,,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]",,,,,,,,,,,
HY,Messer - Emeryville,1172 45th St,,Emeryville,CA,94608,,866-384-4829,E,,Public - Credit card at all times,24 hours daily,D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,37.83426758,-122.2815812,2023/1/10,48407,2023-02-14 15:54:11 UTC,P,,,2018/11/19,http://m.cafcp.org/content/emeryville-upgrade,,,,,US,,,,Public - Carte de crédit en tout temps,TRUE,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,FALSE,,,,
